Ticker,Name,Exchange
AA,Alcoa Inc.,NYSE
AB,Alliance Capital Management L.P.,NYSE
ABB,Abb Ltd,NYSE
ABBV,Abbvie Inc. Common Stock,NYSE
ABC,Amerisourcebergen Corporation,NYSE
ABR,Arbor Realty Trust,NYSE
ABT,Abbot Laboratories,NYSE
ACI,Arch Coal,NYSE
ACN,Accenture Plc.,NYSE
ADC,Agree Realty Corp.,NYSE
ADM,Archer-Daniels-Midland Company,NYSE
AEM,Agnico-Eagle Mines Limited,NYSE
AFL,Aflac Incorporated,NYSE
AG,First Majestic Silver,NYSE
AGCO,Agco Corp.,NYSE
ALB,Albemarle Corp.,NYSE
ALSN,Allison Transmission Holdings,NYSE
AMD,Advanced Micro Devices,NYSE
AMH,American Homes 4 Rent,NYSE
AMRC,Ameresco Inc,NYSE
AMT,American Tower Corp.,NYSE
ANF,Abercrombie & Fitch Company,NYSE
AOS,Smith [A.O.] Corp.,NYSE
APH,Amphenol Corp.,NYSE
ARE,Alexandria Real Estate Equities,NYSE
ARR,Armour Residential R,NYSE
ASC,Ardmore Shipping Corporation,NYSE
ATR,Aptargroup,NYSE
AUY,Yamana Gold,NYSE
AVD,American Vanguard Corp.,NYSE
AWK,American Water Works,NYSE
AWR,American States Water Company,NYSE
AXP,American Express Company,NYSE
BCC,Boise Cascade L.L.C. Common ST,NYSE
BCX,Blackrock Resources Common Shar,NYSE
BDJ,Blackrock Enhanced Dividend Achievers,NYSE
BDN,Brandywine Realty Trust,NYSE
BDX,Becton Dickinson And Company,NYSE
BEAM,Beam Inc,NYSE
BEP,Brookfield Renewable,NYSE
BERY,Berry Plastics Group Inc.,NYSE
BFK,Blackrock Florida Muni 2020 Trust,NYSE
BFZ,Blackrock California Muni Trust,NYSE
BG,Bunge Limited,NYSE
BGR,Blackrock Energy And Resources Trust,NYSE
BGS,B&G Foods Holdings,NYSE
BGT,Blackrock Global,NYSE
BGY,Blackrock International,NYSE
BHK,Blackrock Core Trust,NYSE
BIO,Bio-Rad Laboratories,NYSE
BIT,Blackrock Multi-Sector Income T,NYSE
BKH,Black Hills Corp.,NYSE
BKN,Blackrock Investment Quality Municipal,NYSE
BKT,Blackrock Income Trust Inc.,NYSE
BLK,Blackrock,NYSE
BLL,Ball Corp.,NYSE
BLW,Blackrock Limited Duration Income Trust,NYSE
BME,Blackrock Health Sciences Trust,NYSE
BMY,Bristol-Myers Squibb Company,NYSE
BNS,Bank Of Nova Scotia,NYSE
BNY,Blackrock New York Muni Trust Inc.,NYSE
BOE,Blackrock Global,NYSE
BTA,Blackrock Long-Term Muni Advantage Trust,NYSE
BTZ,Blackrock Preferred,NYSE
BUD,Anheuser-Busch Inbev Sa,NYSE
BUI,Blackrock Utility And Infrastr,NYSE
BWA,Borgwarner Inc.,NYSE
